path,type,size,parent_directory
E:\GB\.gitignore,file,7256,E:\GB
E:\GB\1.PNG,file,344906,E:\GB
E:\GB\46-1.PNG,file,257773,E:\GB
E:\GB\46-2.PNG,file,146724,E:\GB
E:\GB\6eab8dc868f3da6b8e85243b96b13f5a.pdf,file,2132988,E:\GB
E:\GB\Anaconda3-2022.10-Windows-x86_64.exe,file,651399256,E:\GB
E:\GB\avatar.jpg,file,20008,E:\GB
E:\GB\dotnet-sdk-6.0.302-win-x64.exe,file,205706752,E:\GB
E:\GB\dz-10.PNG,file,15384,E:\GB
E:\GB\dz-13.PNG,file,17447,E:\GB
E:\GB\dz-15.PNG,file,24517,E:\GB
E:\GB\dz-19.PNG,file,18207,E:\GB
E:\GB\dz-2.PNG,file,19696,E:\GB
E:\GB\dz-21.PNG,file,27773,E:\GB
E:\GB\dz-23.PNG,file,9319,E:\GB
E:\GB\dz-25.PNG,file,19832,E:\GB
E:\GB\dz-27.PNG,file,18590,E:\GB
E:\GB\dz-29.PNG,file,26425,E:\GB
E:\GB\dz-34.PNG,file,30553,E:\GB
E:\GB\dz-36.PNG,file,30440,E:\GB
E:\GB\dz-38.PNG,file,36339,E:\GB
E:\GB\dz-4.PNG,file,23358,E:\GB
E:\GB\dz-41.PNG,file,37296,E:\GB
E:\GB\dz-43.PNG,file,37548,E:\GB
E:\GB\dz-47.PNG,file,28624,E:\GB
E:\GB\dz-50.PNG,file,48912,E:\GB
E:\GB\dz-52.PNG,file,45974,E:\GB
E:\GB\dz-54.PNG,file,45578,E:\GB
E:\GB\dz-56.PNG,file,41979,E:\GB
E:\GB\dz-58.PNG,file,56721,E:\GB
E:\GB\dz-6.PNG,file,16733,E:\GB
E:\GB\dz-60(1).PNG,file,57105,E:\GB
E:\GB\dz-60(2).PNG,file,29755,E:\GB
E:\GB\dz-62.PNG,file,41780,E:\GB
E:\GB\dz-64.PNG,file,17738,E:\GB
E:\GB\dz-66.PNG,file,10301,E:\GB
E:\GB\dz-68.PNG,file,16211,E:\GB
E:\GB\dz-8.PNG,file,20178,E:\GB
E:\GB\DZ8.png,file,22945,E:\GB
E:\GB\ex001.PNG,file,16426,E:\GB
E:\GB\ex002.PNG,file,5875,E:\GB
E:\GB\file.PNG,file,11987,E:\GB
E:\GB\geekbrains-2e25725be131de1bc416ffeeb0bcd07658b693cd.zip,file,270637004,E:\GB
E:\GB\git шпаргалка.PNG,file,195239,E:\GB
E:\GB\git шпаргалка2.PNG,file,268723,E:\GB
E:\GB\Git-2.37.1-64-bit.exe,file,49381480,E:\GB
E:\GB\git.png,file,41482,E:\GB
E:\GB\GitHubDesktopSetup-x64.exe,file,127104296,E:\GB
E:\GB\md1.png,file,38369,E:\GB
E:\GB\metodicheskoe-rukovodstvo-k-lr-11.pdf,file,461234,E:\GB
E:\GB\mysql-installer-community-8.0.32.0.msi,file,458510336,E:\GB
E:\GB\photo_2022-12-20_09-02-23.jpg,file,53322,E:\GB
E:\GB\pycharm-community-2022.2.3.exe,file,396601896,E:\GB
E:\GB\python-3.10.7-amd64.exe,file,28953568,E:\GB
E:\GB\R-YP-7-1.mp4,file,1659664987,E:\GB
E:\GB\R-YP-8-1.mp4,file,1446680450,E:\GB
E:\GB\ScreenRecorderProject1.mp4,file,1551295495,E:\GB
E:\GB\sem48.PNG,file,381153,E:\GB
E:\GB\seminar1_git.zip,file,103327,E:\GB
E:\GB\seminar_git.zip,file,105409,E:\GB
E:\GB\seminar_git2.zip,file,50492,E:\GB
E:\GB\stats.PNG,file,227027,E:\GB
E:\GB\switch-case.PNG,file,133144,E:\GB
E:\GB\typora-setup-x64.exe,file,80951224,E:\GB
E:\GB\VSCodeSetup-x64-1.69.2.exe,file,83097744,E:\GB
E:\GB\VSCodeUserSetup-x64-1.74.3.exe,file,93076952,E:\GB
E:\GB\[Скачать презентацию. Знакомство с контролем версий].pdf,file,3038015,E:\GB
E:\GB\[Скачать файл.Знакомство_с_базами_данных] (1).xlsx,file,13774,E:\GB
E:\GB\[Скачать файл.Знакомство_с_базами_данных].xlsx,file,13774,E:\GB
E:\GB\Архитектура Калькулятора.png,file,18669,E:\GB
E:\GB\блок схема калькулятора.PNG,file,122390,E:\GB
E:\GB\было.PNG,file,481362,E:\GB
E:\GB\Д З.PNG,file,177836,E:\GB
E:\GB\десятичное в двоичное.PNG,file,125851,E:\GB
E:\GB\дз семинар3.PNG,file,81902,E:\GB
E:\GB\ДЗ-3.PNG,file,76575,E:\GB
E:\GB\ДЗ.PNG,file,88055,E:\GB
E:\GB\ДЗ2 - Разворот массива.jpg,file,327274,E:\GB
E:\GB\Документ Microsoft Word.docx,file,18402,E:\GB
E:\GB\Колесо компетенции.PNG,file,128305,E:\GB
E:\GB\колесо результат.PNG,file,52055,E:\GB
E:\GB\конспект контроль версий.docx,file,41586,E:\GB
E:\GB\Лекция 4.zip,file,6774,E:\GB
E:\GB\лекция2_python.pdf,file,1103223,E:\GB
E:\GB\Лекция_1 (контроль версий).pdf,file,15376262,E:\GB
E:\GB\мое колесо компетенции.pdf,file,148635,E:\GB
E:\GB\Новый точечный рисунок (3).bmp,file,704934,E:\GB
E:\GB\оксана57.PNG,file,138763,E:\GB
E:\GB\перевернуть массив.PNG,file,361621,E:\GB
E:\GB\пример.PNG,file,366232,E:\GB
E:\GB\Прототип.PNG,file,42070,E:\GB
"E:\GB\Работа с данными из разных таблиц Знакомствосбазамиданных, часть 2.pdf",file,4712425,E:\GB
E:\GB\Работа с данными из разных таблиц.pdf,file,2781493,E:\GB
E:\GB\рекурсия.pdf,file,1824087,E:\GB
E:\GB\Семинар 3. Введение в программирование.pptx,file,7746040,E:\GB
E:\GB\семинар_2.MP4,file,369237728,E:\GB
E:\GB\синтансис md.PNG,file,222418,E:\GB
E:\GB\Снимок.PNG,file,17397,E:\GB
E:\GB\Справка_об_обучении_ЦПС0043_28.10.22_Гришин Игорь Николаевич (1).pdf,file,162582,E:\GB
E:\GB\стало.PNG,file,365250,E:\GB
E:\GB\таблица квадратов.PNG,file,210307,E:\GB
E:\GB\чат к семинару 2.docx,file,20085,E:\GB
E:\GB,directory,7519311713,E:\
E:\GB\.vscode,directory,0,E:\GB
E:\GB\A-B test\dz1.docx,file,14752,E:\GB\A-B test
E:\GB\A-B test\dz2.docx,file,15842,E:\GB\A-B test
E:\GB\A-B test\dz4-2.PNG,file,43581,E:\GB\A-B test
E:\GB\A-B test\dz4-3.PNG,file,72146,E:\GB\A-B test
E:\GB\A-B test\dz5.PNG,file,136547,E:\GB\A-B test
E:\GB\A-B test\gb_sem_ab_testing-master.zip,file,7451307,E:\GB\A-B test
E:\GB\A-B test\GeekBrains A_B тесты  Матстатистика урок 5.pptx,file,19693529,E:\GB\A-B test
E:\GB\A-B test\GeekBrains A_B тесты  урок 7.pptx,file,18428242,E:\GB\A-B test
E:\GB\A-B test\webinar_5.MP4,file,287270322,E:\GB\A-B test
E:\GB\A-B test\webinar_6.MP4,file,291035143,E:\GB\A-B test
E:\GB\A-B test\webinar_7.MP4,file,281663107,E:\GB\A-B test
E:\GB\A-B test\webinar_8.MP4,file,160350604,E:\GB\A-B test
E:\GB\A-B test\webinar_9.MP4,file,209540224,E:\GB\A-B test
